company_id,name,ticker,exchange,reporting_currency,country_code,region,segment,wikipedia_title,wikidata_qid,wiki_title_canonical,founded_date,headquarters,founders,industry,employees,employees_year,website,wiki_extract,wiki_url,wiki_thumbnail
amazon,Amazon.com,AMZN,NASDAQ,USD,US,North America,Marketplace + Cloud,Amazon (company),Q3884,Amazon (company),1994-07-05,Seattle,Jeff Bezos,retail,1500000.0,2023.0,https://www.amazon.it/,"Amazon.com, Inc. is an American multinational technology company engaged in e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence. Founded in 1994 by Jeff Bezos in Bellevue, Washington, the company originally started as an online marketplace for books but gradually expanded its offerings to include a wide range of product categories, referred to as ""The Everything Store"". Amazon has been described as a Big Tech company.",https://en.wikipedia.org/wiki/Amazon_(company),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Amazon_Tower_I_topped_out%2C_June_2015.jpg/330px-Amazon_Tower_I_topped_out%2C_June_2015.jpg
ebay,eBay,EBAY,NASDAQ,USD,US,North America,C2C Marketplace,EBay,Q58024,EBay,1995-09-03,San Jose,Pierre Omidyar,e-commerce,12600.0,2016.0,https://www.ebay.com,"eBay Inc. is an American multinational e-commerce company based in San Jose, California, that allows users to buy or view items via retail sales through online marketplaces and websites in 190 markets worldwide. Sales occur either via online auctions or ""buy it now"" instant sales, and the company charges commissions to sellers upon sales. eBay was founded by Pierre Omidyar in September 1995. In 2021, eBay had approximately 17 million global sellers; in 2023, it reported 132 million yearly active buyers worldwide and handled $73 billion in transactions, 48% of which were in the United States. In 2023, the company had a take rate of 13.81%.",https://en.wikipedia.org/wiki/EBay,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/EBay_logo.svg/330px-EBay_logo.svg.png
etsy,Etsy,ETSY,NASDAQ,USD,US,North America,Handmade Marketplace,Etsy,Q1353939,Etsy,2005-06-18,Dumbo,,e-commerce,,,https://www.etsy.com/,"Etsy, Inc. is an American e-commerce company focused on handmade or vintage items and craft supplies. Its marketplace includes categories such as jewelry, apparel, home decor, furniture, toys, and art. Items described as vintage must be at least 20 years old. The platform provides sellers with individual storefronts where they list their goods for a fee of US$0.20 per item. Since 2013, the company has allowed the sale of mass-manufactured items.",https://en.wikipedia.org/wiki/Etsy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Etsy_logo.svg/330px-Etsy_logo.svg.png
shopify,Shopify,SHOP,NYSE,USD,CA,North America,E-commerce SaaS,Shopify,Q7501150,Shopify,2006-00-00,Ottawa,Tobias Lütke,e-commerce,8300.0,2023.0,https://www.shopify.com,"Shopify Inc., stylized as shopify, is a Canadian multinational e-commerce company headquartered in Ottawa, Ontario that operates a platform for retail point-of-sale systems. The company has over 5 million customers and processed US$292.3 billion in transactions in 2024, of which 57% was in the United States. Major customers include Tesla, LVMH, Nestlé, PepsiCo, AB InBev, Kraft Heinz, Lindt, Whole Foods Market, Red Bull, and Hyatt.",https://en.wikipedia.org/wiki/Shopify,
wayfair,Wayfair,W,NYSE,USD,US,North America,Home Goods,Wayfair,Q3540193,Wayfair,2002-00-00,Boston,,e-commerce,,,https://www.wayfair.com/,"Wayfair Inc. is an American multinational e-commerce company based in Boston, Massachusetts that sells furniture and home goods online. Formerly known as CSN Stores, it was founded in 2002, and currently offers 14 million items from more than 11,000 global suppliers. The company maintains international operations, including locations in North America and in Canada, Ireland, China and the United Kingdom.",https://en.wikipedia.org/wiki/Wayfair,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Wayfair_Headquarters_%2854954489264%29.jpg/330px-Wayfair_Headquarters_%2854954489264%29.jpg
chewy,Chewy,CHWY,NYSE,USD,US,North America,Pet Supplies,"Chewy, Inc.",Q28130158,Chewy (company),2011-01-01,Dania Beach,Ryan Cohen,retail,,,https://www.chewy.com,"Chewy, Inc. is an American online retailer of pet food and other pet-related products based in Plantation, Florida. Chewy went public in 2019 with the ticker symbol CHWY on the New York Stock Exchange.",https://en.wikipedia.org/wiki/Chewy_(company),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Chewy_pet_food_logo.svg/330px-Chewy_pet_food_logo.svg.png
carvana,Carvana,CVNA,NYSE,USD,US,North America,Used Cars,Carvana,Q16247191,Carvana,,Tempe,Ernest Garcia III,e-commerce,,,https://www.carvana.com/,"Carvana Co. is an American online used car retailer based in Tempe, Arizona. Carvana was named to the 2021 Fortune 500 list, one of the youngest companies to be added to the list.",https://en.wikipedia.org/wiki/Carvana,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Carvana_Delorean_Back_to_the_Future_time_machine_%2847499319902%29.jpg/330px-Carvana_Delorean_Back_to_the_Future_time_machine_%2847499319902%29.jpg
revolve,Revolve Group,RVLV,NYSE,USD,US,North America,Fashion,Revolve Group,Q66054095,,2003-01-01,"Cerritos, California",Michael Mente; Mike Karanikolas,Fashion retail,,,https://www.revolve.com/,,,
stitchfix,Stitch Fix,SFIX,NASDAQ,USD,US,North America,Personal Styling,Stitch Fix,Q18385610,Stitch Fix,2011-00-00,San Francisco,,retail,,,https://www.stitchfix.com,"Stitch Fix, Inc. is an online personal styling service in the United States. It uses recommendation algorithms and data science to personalize clothing items based on size, budget and style. The company was founded in 2011 and had an initial public offering in 2017 with a valuation of $1.6 billion. Stitch Fix generated $1.6 billion in net revenue in its fiscal year 2023, a decrease of 21% year-over-year and reported 3,297,000 active clients in September 2023. It is headquartered in San Francisco, California.",https://en.wikipedia.org/wiki/Stitch_Fix,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Stitch_Fix_logo_2026.png/330px-Stitch_Fix_logo_2026.png
instacart,Maplebear (Instacart),CART,NASDAQ,USD,US,North America,Grocery Delivery,Instacart,Q22909236,Instacart,2012-00-00,San Francisco,Max Mullen; Apoorva Mehta,retail,,,https://instacart.com/,"Maplebear Inc., doing business as Instacart, is an American retail media and delivery company based in San Francisco that operates a grocery delivery and pick-up service in the United States and Canada accessible via a website and mobile app. It allows customers to order groceries from participating retailers with the shopping being done by a personal shopper, who picks, packs, and delivers the order, while also providing alcohol delivery in regions where it is permitted.",https://en.wikipedia.org/wiki/Instacart,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Instacart_carrot.svg/330px-Instacart_carrot.svg.png
doordash,DoorDash,DASH,NASDAQ,USD,US,North America,Food Delivery,DoorDash,Q20714323,DoorDash,2012-00-00,San Francisco,Tony Xu,food delivery service,,,https://www.doordash.com/,"DoorDash, Inc. is an American company operating online food ordering and food delivery. It trades under the symbol DASH. With a 56% market share, DoorDash is the largest food delivery platform in the United States. It also has a 60% market share in the convenience delivery category. As of December 31, 2020, the platform was used by 450,000 merchants, 20 million consumers, and had over one million delivery couriers.",https://en.wikipedia.org/wiki/DoorDash,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/DoorDash_operations_world_map.svg/330px-DoorDash_operations_world_map.svg.png
alibaba,Alibaba Group,BABA,NYSE,USD,CN,Greater China,Marketplace + Cloud,Alibaba Group,Q1359568,Alibaba Group,1999-06-28,Binjiang District,Jack Ma; Joseph Tsai,e-commerce,251462.0,2021.0,https://www.alibaba.com/,"Alibaba Group Holding Limited, branded as Alibaba, is a Chinese multinational technology company specializing in e-commerce, retail, Internet, and technology. Founded on 28 June 1999 in Hangzhou, Zhejiang, the company provides consumer-to-consumer (C2C), business-to-consumer (B2C), and business-to-business (B2B) sales services via Chinese and global marketplaces, as well as local consumer, digital media and entertainment, logistics, and cloud computing services. It owns and operates a diverse portfolio of companies around the world in numerous business sectors.",https://en.wikipedia.org/wiki/Alibaba_Group,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/TaobaoCity_Alibaba_Xixi_Park.jpg/330px-TaobaoCity_Alibaba_Xixi_Park.jpg
jdcom,JD.com,JD,NASDAQ,USD,CN,Greater China,1P + 3P Retail,JD.com,Q3598926,JD.com,2004-00-00,Beijing,Liu Qiangdong,e-commerce,,,https://jd.com/,"JD.com, Inc., also known as Jingdong Group, formerly called 360buy, is a Chinese e-commerce company headquartered in Beijing. With revenues more than US158.8 billion in 2024, JD.com is China’s largest retailer by revenue, and ranks 47 on Fortune Global 500. It is one of the two massive B2C online retailers in China by transaction volume and revenue, and is a major competitor to Alibaba-run Tmall. JD.com’s portfolio spans across retail, technology, logistics, health care, industrials, property management, private label, insurance, and international business.",https://en.wikipedia.org/wiki/JD.com,https://upload.wikimedia.org/wikipedia/en/c/c4/JD.com_logo.png
pinduoduo,PDD Holdings (Pinduoduo),PDD,NASDAQ,USD,CN,Greater China,Social Commerce,Pinduoduo,Q47015652,Pinduoduo,2015-09-00,,Colin Huang,,,,https://pinduoduo.com,"Pinduoduo is a Chinese online retailer, with a focus on the traditional agriculture industry. The business is the largest product of PDD Holdings, a company domiciled in the Cayman Islands and headquartered in Ireland that also owns the online marketplace Temu.",https://en.wikipedia.org/wiki/Pinduoduo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/202309_Jin_Hongqiao_International_Center_at_Night.jpg/330px-202309_Jin_Hongqiao_International_Center_at_Night.jpg
vipshop,Vipshop,VIPS,NYSE,USD,CN,Greater China,Flash Sales,Vipshop,Q19854317,Vipshop,2008-12-00,Guangzhou,,e-commerce,,,https://www.vip.com/,"Vipshop is a Chinese company that operates the e-commerce website VIP.com specializing in online discount sales. Vipshop is based out of Guangzhou, Guangdong, China, and was listed on New York Stock Exchange (NYSE) on March 23, 2012.",https://en.wikipedia.org/wiki/Vipshop,https://upload.wikimedia.org/wikipedia/en/1/1f/Vipshop_logo.png
coupang,Coupang,CPNG,NYSE,USD,KR,Asia Pacific,1P Retail,Coupang,Q12620655,Coupang,2010-08-10,Seoul,Bom Kim,e-commerce,,,https://www.coupang.com/,"Coupang, Inc. is an American technology and online retail company headquartered in Seattle, Washington and incorporated in Delaware. Founded in 2010 by Bom Kim and originally incorporated at its founding as Coupang, LLC in Delaware, the company operates a retail business, food delivery service, and OTT streaming service, with offices and operations in South Korea, Taiwan, the United States, India, Japan and Singapore.",https://en.wikipedia.org/wiki/Coupang,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Coupang_2.jpg/330px-Coupang_2.jpg
sea,Sea Limited (Shopee),SE,NYSE,USD,SG,Asia Pacific,Marketplace + Gaming,Sea Ltd,Q93520415,Sea Ltd,,Singapore,Forrest Li,e-commerce,,,https://www.sea.com,"Sea Limited is a tech conglomerate headquartered in Singapore. It is listed on the New York Stock Exchange, with revenue of US$16.8 billion (2024). Sea currently functions as a holding company for Garena, Monee and Shopee, the largest e-commerce platform in Southeast Asia.",https://en.wikipedia.org/wiki/Sea_Ltd,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sea_Group_logo.svg/330px-Sea_Group_logo.svg.png
