company_id,ticker,fiscal_year,total_revenue,gross_profit,operating_income,net_income,ebitda,research_dev,total_assets,total_liabilities,cash_and_equivalents,total_equity,operating_cash_flow,capex,free_cash_flow
affirm,AFRM,2022,1349292000.0,772835000.0,-796354000.0,-707417000.0,-602415000.0,,6973792000.0,4355537000.0,1255171000.0,2618255000.0,-162194000.0,-111705000.0,-273899000.0
affirm,AFRM,2023,1587985000.0,714824000.0,-981979000.0,-985345000.0,-671598000.0,,8155615000.0,5621432000.0,892027000.0,2534183000.0,12181000.0,-120775000.0,-108594000.0
affirm,AFRM,2024,2322999000.0,1477893000.0,-264826000.0,-517757000.0,-2230000.0,,9519619000.0,6787630000.0,1013106000.0,2731989000.0,450138000.0,-159296000.0,290842000.0
affirm,AFRM,2025,3224412000.0,2176840000.0,337993000.0,52186000.0,711991000.0,,11154929000.0,8085920000.0,1354455000.0,3069009000.0,793909000.0,-192189000.0,601720000.0
alibaba,BABA,2022,853062000000.0,313612000000.0,94779000000.0,62249000000.0,128226000000.0,55465000000.0,1695553000000.0,613360000000.0,189898000000.0,948479000000.0,142759000000.0,-53324000000.0,89435000000.0
alibaba,BABA,2023,868687000000.0,318992000000.0,103065000000.0,72783000000.0,153112000000.0,56744000000.0,1753044000000.0,630123000000.0,193086000000.0,989657000000.0,199752000000.0,-34352000000.0,165400000000.0
alibaba,BABA,2024,941168000000.0,354845000000.0,123871000000.0,80009000000.0,164011000000.0,52256000000.0,1764829000000.0,652230000000.0,248125000000.0,986544000000.0,182593000000.0,-32929000000.0,149664000000.0
alibaba,BABA,2025,996347000000.0,398062000000.0,147076000000.0,130109000000.0,207510000000.0,57151000000.0,1804227000000.0,714121000000.0,145487000000.0,1009858000000.0,163509000000.0,-85972000000.0,77537000000.0
allegro,ALE.WA,2022,9004916000.0,6596884000.0,1198724000.0,-1916796000.0,2094586000.0,,19205795000.0,10224536000.0,877559000.0,8981259000.0,1854680000.0,-722262000.0,1132418000.0
allegro,ALE.WA,2023,10185317000.0,7863184000.0,1487714000.0,284058000.0,2697960000.0,,18538803000.0,9495477000.0,2049122000.0,9043326000.0,2540857000.0,-470465000.0,2070392000.0
allegro,ALE.WA,2024,10367200000.0,9227000000.0,1954900000.0,1034600000.0,3191700000.0,,19517300000.0,9430100000.0,3762900000.0,10087200000.0,3623200000.0,-643700000.0,2979500000.0
allegro,ALE.WA,2025,11458200000.0,10734400000.0,2161500000.0,1517100000.0,3462200000.0,,19721200000.0,9576900000.0,2508200000.0,10144300000.0,2869700000.0,-1017400000.0,1852300000.0
amazon,AMZN,2022,513983000000.0,225152000000.0,12248000000.0,-2722000000.0,38352000000.0,,462675000000.0,316632000000.0,53888000000.0,146043000000.0,46752000000.0,-63645000000.0,-16893000000.0
amazon,AMZN,2023,574785000000.0,270046000000.0,36852000000.0,30425000000.0,89402000000.0,,527854000000.0,325979000000.0,73387000000.0,201875000000.0,84946000000.0,-52729000000.0,32217000000.0
amazon,AMZN,2024,637959000000.0,311671000000.0,68593000000.0,59248000000.0,123815000000.0,,624894000000.0,338924000000.0,78779000000.0,285970000000.0,115877000000.0,-82999000000.0,32878000000.0
amazon,AMZN,2025,716924000000.0,360510000000.0,79975000000.0,77670000000.0,165341000000.0,,818042000000.0,406977000000.0,86810000000.0,411065000000.0,139514000000.0,-131819000000.0,7695000000.0
ao,AO.L,2022,1368300000.0,263400000.0,-7500000.0,-30400000.0,22900000.0,17500000.0,549200000.0,476800000.0,19500000.0,73400000.0,-52400000.0,-9500000.0,-61900000.0
ao,AO.L,2023,1138600000.0,238200000.0,12500000.0,-2600000.0,43100000.0,,460300000.0,354600000.0,19100000.0,105700000.0,24400000.0,-2200000.0,22200000.0
ao,AO.L,2024,1039300000.0,243300000.0,35600000.0,24700000.0,63300000.0,,441800000.0,304000000.0,40100000.0,137800000.0,61600000.0,-8300000.0,53300000.0
ao,AO.L,2025,1137600000.0,276000000.0,43900000.0,10500000.0,51300000.0,,426600000.0,282100000.0,27400000.0,144500000.0,58000000.0,-8900000.0,49100000.0
